	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	metric_history
114	[2.303493022918701, 1.7348488569259644]	[0, 1.2651511430740356]	[0.0, 0.9296948713265323]	1	2.0	1	0.46484743566326614
115	[2.1874425411224365, 2.1817078590393066]	[0, 0.8182921409606934]	[0.0, 0.9669822539633515]	1	2.0	1	0.48349112698167573
116	[1.6525393724441528, 1.716387152671814]	[1.3474606275558472, 0]	[0.8792711122984969, 0.0]	1	2.0	1	0.43963555614924843
117	[1.714795470237732, 1.2664873600006104]	[0, 1.7335126399993896]	[0.0, 0.4619592069611258]	1	2.0	1	0.2309796034805629
118	[1.3867796659469604, 2.371641159057617]	[1.6132203340530396, 0]	[0.6239608219038786, 0.0]	1	2.0	1	0.3119804109519393
119	[2.098989486694336, 1.7204246520996094]	[0, 1.2795753479003906]	[0.0, 0.9218376248463755]	1	2.0	1	0.4609188124231878
120	[2.346163034439087, 1.7911601066589355]	[0, 1.2088398933410645]	[0.0, 0.9563858989492928]	1	2.0	1	0.4781929494746464
121	[1.6793792247772217, 1.7564910650253296]	[1.3206207752227783, 0]	[0.8972023184955447, 0.0]	1	2.0	1	0.44860115924777233
122	[1.3547255992889404, 1.9619309902191162]	[1.6452744007110596, 0]	[0.5836209477869829, 0.0]	1	2.0	1	0.29181047389349146
123	[2.1220757961273193, 1.7888598442077637]	[0, 1.2111401557922363]	[0.0, 0.9554198346120302]	1	2.0	1	0.4777099173060151
124	[1.7095743417739868, 1.7051517963409424]	[0, 1.2948482036590576]	[0.0, 0.9130645367990269]	1	2.0	1	0.45653226839951344
125	[1.722902774810791, 1.548140525817871]	[0, 1.451859474182129]	[0.0, 0.79582301559185]	1	2.0	1	0.397911507795925
126	[1.6808512210845947, 1.7996357679367065]	[1.3191487789154053, 0]	[0.8981440569168058, 0.0]	1	2.0	1	0.4490720284584029
127	[1.0446045398712158, 1.2909215688705444]	[1.9553954601287842, 0]	[0.08721951476530876, 0.0]	1	2.0	1	0.04360975738265438
128	[1.7078512907028198, 1.6787866353988647]	[0, 1.3212133646011353]	[0.0, 0.8968219744016181]	1	2.0	1	0.4484109872008091
129	[1.8676209449768066, 1.763506531715393]	[0, 1.236493468284607]	[0.0, 0.9440708394587176]	1	2.0	1	0.4720354197293588
130	[1.654227375984192, 1.7708925008773804]	[1.345772624015808, 0]	[0.8804412924812226, 0.0]	1	2.0	1	0.4402206462406113
131	[0.9313201308250427, 1.3693766593933105]	[2.0686798691749573, 0]	[-0.1420766627798038, 0.0]	1	2.0	1	-0.0710383313899019
132	[1.7262154817581177, 1.73592209815979]	[1.2737845182418823, 0]	[0.9250420375710604, 0.0]	1	2.0	1	0.4625210187855302
133	[1.7299350500106812, 1.7404983043670654]	[1.2700649499893188, 0]	[0.9270649227872667, 0.0]	1	2.0	1	0.46353246139363335
134	[1.651956558227539, 1.692400574684143]	[1.348043441772461, 0]	[0.8788657626391796, 0.0]	1	2.0	1	0.4394328813195898
135	[1.9530706405639648, 1.708019495010376]	[0, 1.291980504989624]	[0.0, 0.9147473847060041]	1	2.0	1	0.45737369235300207
136	[1.6192446947097778, 1.755407452583313]	[1.3807553052902222, 0]	[0.8550253974933497, 0.0]	1	2.0	1	0.42751269874667486
137	[0.9876186847686768, 2.2220888137817383]	[2.0123813152313232, 0]	[-0.02491592742950388, 0.0]	1	2.0	1	-0.01245796371475194
138	[1.1369267702102661, 1.0337657928466797]	[0, 1.9662342071533203]	[0.0, 0.06639145692679449]	1	2.0	1	0.033195728463397245
139	[1.768249750137329, 1.7056212425231934]	[0, 1.2943787574768066]	[0.0, 0.9133411471464115]	1	2.0	1	0.45667057357320573
140	[1.6105291843414307, 0.8721576929092407]	[0, 2.1278423070907593]	[0.0, -0.27202826966380655]	1	2.0	1	-0.13601413483190328
141	[1.5985474586486816, 2.08008074760437]	[1.4014525413513184, 0]	[0.838835857042568, 0.0]	1	2.0	1	0.419417928521284
142	[2.030069351196289, 2.135042428970337]	[0.9699306488037109, 0]	[0.9990958341186342, 0.0]	1	2.0	1	0.4995479170593171
143	[1.633615493774414, 1.7169139385223389]	[1.366384506225586, 0]	[0.8657623935978336, 0.0]	1	2.0	1	0.4328811967989168
144	[2.3515207767486572, 1.8139793872833252]	[0, 1.1860206127166748]	[0.0, 0.9653963316445129]	1	2.0	1	0.48269816582225644
145	[1.0369454622268677, 1.4958009719848633]	[1.9630545377731323, 0]	[0.07252595727457845, 0.0]	1	2.0	1	0.03626297863728922
