	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	metric_history
112	[1.4680317640304565, 1.2531336545944214]	[0.28724999878503665, 0.6785413022091296]	[0.1344421236491072, 0.1717616396214547]	1	1.9249809167141596	1.4729266600306228	-0.6094837873161942
113	[2.0636849403381348, 1.4344542026519775]	[0.06811739519161962, 0.8440025933511421]	[0.07245544744038707, 0.3666804737305717]	1	1.9249809167141596	1.4729266600306228	-0.02931728399755781
114	[1.2163773775100708, 1.6147230863571167]	[0.8020797263177657, 0.16301222156319967]	[0.17355190773463347, 0.10020737595326024]	1	1.9249809167141596	1.4729266600306228	-0.7510838378139323
115	[2.1306633949279785, 1.2994518280029297]	[0.032807083288651936, 0.9118638701054512]	[0.03709376816883215, 0.2730593027929034]	1	1.9249809167141596	1.4729266600306228	-0.5922475062694785
116	[1.4090090990066528, 2.000094413757324]	[0.8417097988072493, 0.07913015582391077]	[0.34426696643522403, 0.07913762679923975]	1	1.9249809167141596	1.4729266600306228	-0.09797478317329217
117	[1.881009578704834, 1.2018450498580933]	[0.05969805920407093, 0.9032122955955617]	[0.052594561988874765, 0.18230893083692903]	1	1.9249809167141596	1.4729266600306228	-0.9206652895423376
118	[1.4817079305648804, 2.1967244148254395]	[0.8452716636108674, 0.048404468509812754]	[0.4071740638431246, 0.05792680925234208]	1	1.9249809167141596	1.4729266600306228	0.08400364304377816
119	[2.166231155395508, 1.6091138124465942]	[0.08176624051011544, 0.7592520640929734]	[0.09535833714245891, 0.462470919367617]	1	1.9249809167141596	1.4729266600306228	0.4887055813388988
120	[2.1973538398742676, 1.6953498125076294]	[0.09389112221731216, 0.6993504293375599]	[0.11242089571700287, 0.4862931899170024]	1	1.9249809167141596	1.4729266600306228	0.6671425278705492
121	[2.226003408432007, 1.2343595027923584]	[0.017770544137684995, 0.938345187835049]	[0.02178674768249322, 0.21991011166862426]	1	1.9249809167141596	1.4729266600306228	-0.8910164538880919
122	[1.5058343410491943, 1.2335379123687744]	[0.2432862752821499, 0.7230110837354656]	[0.1230625527436592, 0.1688504991150658]	1	1.9249809167141596	1.4729266600306228	-0.6718538879802742
123	[1.7988935708999634, 1.8063578605651855]	[0.4135770875003198, 0.4014113713855759]	[0.3304040762755371, 0.32368121463701016]	1	1.9249809167141596	1.4729266600306228	0.9088035304329263
124	[1.1876299381256104, 1.5812674760818481]	[0.8026358164281352, 0.16622643589530947]	[0.15059850857380974, 0.09662202085094766]	1	1.9249809167141596	1.4729266600306228	-0.8669090565304816
125	[1.3793680667877197, 1.8397250175476074]	[0.8050734827195266, 0.12767727015326652]	[0.3054191707613635, 0.10721379791988234]	1	1.9249809167141596	1.4729266600306228	-0.14498625015620323
126	[1.212359070777893, 1.3941010236740112]	[0.6552219383672574, 0.3167162313909246]	[0.1391423219849607, 0.12481819100533839]	1	1.9249809167141596	1.4729266600306228	-0.793849400505724
127	[1.5549548864364624, 1.5150063037872314]	[0.42700786137529106, 0.500995317318258]	[0.23697009921700132, 0.25801574658678716]	1	1.9249809167141596	1.4729266600306228	0.21443303192762603
128	[1.2722456455230713, 1.3959856033325195]	[0.6009558586455439, 0.36633992312530955]	[0.1636076156678277, 0.14506533548356454]	1	1.9249809167141596	1.4729266600306228	-0.5987073121465706
129	[1.262367844581604, 1.4695847034454346]	[0.6716568688062831, 0.2932073866083033]	[0.17622116496713366, 0.137685703688471]	1	1.9249809167141596	1.4729266600306228	-0.5758645052213092
130	[1.286075234413147, 1.5973398685455322]	[0.7432514697313793, 0.21399997598142192]	[0.21262583843132035, 0.12783071752148964]	1	1.9249809167141596	1.4729266600306228	-0.45999157058525125
131	[1.3892709016799927, 1.6090688705444336]	[0.6657677604158014, 0.27637234322205917]	[0.25916401640652836, 0.16832979093597814]	1	1.9249809167141596	1.4729266600306228	-0.08012789730417084
132	[1.3400918245315552, 2.151432514190674]	[0.9006234796849951, 0.035083274960148944]	[0.306294682422028, 0.04039602349340701]	1	1.9249809167141596	1.4729266600306228	-0.43278336873171475
133	[1.205884337425232, 1.5554368495941162]	[0.7759325738445808, 0.19168541761081384]	[0.15975236385264638, 0.10646914447088296]	1	1.9249809167141596	1.4729266600306228	-0.783981556808469
134	[1.9288264513015747, 1.2473222017288208]	[0.05873997412905982, 0.8970732175373917]	[0.05455924171984094, 0.22186612327330513]	1	1.9249809167141596	1.4729266600306228	-0.7394480448435781
135	[1.9836684465408325, 2.205587148666382]	[0.4258266329772058, 0.17527523153829408]	[0.4188722225564013, 0.21130956662209185]	1	1.9249809167141596	1.4729266600306228	0.8044795561805251
136	[1.445665717124939, 2.1995980739593506]	[0.863625890046198, 0.042326368052661566]	[0.38488845161510254, 0.0507746295936674]	1	1.9249809167141596	1.4729266600306228	-0.044474078630787076
