	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	metric_history
152	[2.338955879211426, 9.86964225769043]	[0.6610441207885742, 0]	[0.8851089119480093, 0.0]	1	2.0	1	0.44255445597400467
153	[10.447538375854492, 10.48475456237793]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
154	[3.5191197395324707, 7.671457767486572]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
155	[3.322338342666626, 4.0861358642578125]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
156	[9.743488311767578, 2.3872556686401367]	[0, 0.6127443313598633]	[0.0, 0.8500330471060806]	1	2.0	1	0.4250165235530403
157	[9.79426383972168, 5.022721290588379]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
158	[6.544327259063721, 5.12740421295166]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
159	[2.715338945388794, 2.308981418609619]	[0, 0.6910185813903809]	[0.0, 0.9045304829539873]	1	2.0	1	0.45226524147699365
160	[8.595781326293945, 4.524894714355469]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
161	[3.1952428817749023, 9.894169807434082]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
162	[4.339766025543213, 4.126725196838379]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
163	[3.560835599899292, 2.381834030151367]	[0, 0.6181659698486328]	[0.0, 0.8542027734183648]	1	2.0	1	0.4271013867091824
164	[3.084320068359375, 6.953895092010498]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
165	[2.7296457290649414, 6.256307601928711]	[0.2703542709350586, 0]	[0.4676171100572901, 0.0]	1	2.0	1	0.23380855502864506
166	[9.773030281066895, 9.437630653381348]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
167	[4.7222900390625, 8.056841850280762]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
168	[7.076132297515869, 3.8300058841705322]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
169	[4.008247375488281, 7.64316463470459]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
170	[8.546055793762207, 3.1001484394073486]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
171	[9.990593910217285, 4.222355365753174]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
172	[8.080582618713379, 8.640206336975098]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
173	[2.9703221321105957, 2.7767858505249023]	[0, 0.22321414947509766]	[0.0, 0.3966037424243041]	1	2.0	1	0.19830187121215204
174	[9.85937786102295, 2.3837924003601074]	[0, 0.6162075996398926]	[0.0, 0.852703393425827]	1	2.0	1	0.4263516967129135
175	[4.422306060791016, 2.2852585315704346]	[0, 0.7147414684295654]	[0.0, 0.9186275701662794]	1	2.0	1	0.4593137850831397
176	[4.2690935134887695, 4.267615795135498]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
177	[10.724812507629395, 5.439875602722168]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
178	[3.0577354431152344, 8.22763442993164]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
179	[2.8203887939453125, 9.513934135437012]	[0.1796112060546875, 0]	[0.3269622267689556, 0.0]	1	2.0	1	0.1634811133844778
180	[5.997590065002441, 3.3165500164031982]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
