	prices_history	monopoly_history	nash_history	rewards_history	metric_history
121	[2.1214780807495117, 1.200296401977539]	1.9249809213956623	1.4729266600306228	[0.0264126454252587, 0.18791036629268082]	-1.0104863377337867
122	[1.4889161586761475, 1.853602647781372]	1.9249809213956623	1.4729266600306228	[0.35897088697327967, 0.1457321161911249]	0.256842402971837
123	[2.3017377853393555, 1.4772980213165283]	1.9249809213956623	1.4729266600306228	[0.04146292268089052, 0.4112676932669334]	0.030015135312807063
124	[1.9567278623580933, 1.4474178552627563]	1.9249809213956623	1.4729266600306228	[0.10059726653022548, 0.3608055193320852]	0.06786378363793777
125	[1.1840600967407227, 2.213413715362549]	1.9249809213956623	1.4729266600306228	[0.17454215376471008, 0.01874041475290172]	-1.102314835462342
126	[1.3996416330337524, 1.2948758602142334]	1.9249809213956623	1.4729266600306228	[0.15305346996987435, 0.17171509094057166]	-0.5284599485275402
127	[1.6461255550384521, 1.2540600299835205]	1.9249809213956623	1.4729266600306228	[0.10695483254991678, 0.20179361252787095]	-0.598377827934545
128	[2.1692919731140137, 1.619977355003357]	1.9249809213956623	1.4729266600306228	[0.09769663347402872, 0.46621869791421455]	0.5152675271973826
129	[1.364741563796997, 2.269148111343384]	1.9249809213956623	1.4729266600306228	[0.3298944074238432, 0.03081675553910814]	-0.371592760915949
130	[1.7218395471572876, 2.166478395462036]	1.9249809213956623	1.4729266600306228	[0.4820067605147869, 0.13154439994873482]	0.7318971663212944
131	[1.6076850891113281, 1.874939203262329]	1.9249809213956623	1.4729266600306228	[0.39166441584426337, 0.19361788160149157]	0.608521094881155
132	[1.2942166328430176, 1.875443935394287]	1.9249809213956623	1.4729266600306228	[0.25424614313831845, 0.07398100899551416]	-0.5133653408105409
133	[1.9398219585418701, 1.2345103025436401]	1.9249809213956623	1.4729266600306228	[0.05057198381217901, 0.21197184024984142]	-0.800032369884928
134	[1.74515700340271, 1.7401494979858398]	1.9249809213956623	1.4729266600306228	[0.3129526584185832, 0.3171386946697263]	0.8040848586818584
135	[2.0271899700164795, 1.581336259841919]	1.9249809213956623	1.4729266600306228	[0.12736335924045086, 0.42889242067197053]	0.4818383309298675
136	[1.206681728363037, 2.142225742340088]	1.9249809213956623	1.4729266600306228	[0.1939637556600421, 0.02540762273804593]	-0.9884533451866665
137	[1.295987606048584, 2.3030221462249756]	1.9249809213956623	1.4729266600306228	[0.27466040905866296, 0.021531592798202152]	-0.653178922512879
138	[2.282470703125, 2.2099523544311523]	1.9249809213956623	1.4729266600306228	[0.23610334324253457, 0.2977146648018801]	0.38391135936384063
139	[2.1745760440826416, 2.2145276069641113]	1.9249809213956623	1.4729266600306228	[0.3040855848797615, 0.2679903227896019]	0.5508833863007149
140	[2.1730785369873047, 1.5365009307861328]	1.9249809213956623	1.4729266600306228	[0.07444207617793938, 0.4344206235510036]	0.2749969010920213
141	[1.9237892627716064, 1.5686417818069458]	1.9249809213956623	1.4729266600306228	[0.15719254049020534, 0.40054577465758534]	0.48830867864058
142	[1.7262662649154663, 2.2610270977020264]	1.9249809213956623	1.4729266600306228	[0.5000701299645023, 0.10225504550454907]	0.682902697537982
143	[1.3439280986785889, 1.4383050203323364]	1.9249809213956623	1.4729266600306228	[0.19562940575315244, 0.1709202096291206]	-0.3461115336613058
144	[2.217832326889038, 2.1448049545288086]	1.9249809213956623	1.4729266600306228	[0.2575060101409014, 0.3241849964591071]	0.5928473355343901
145	[1.9565684795379639, 1.3709179162979126]	1.9249809213956623	1.4729266600306228	[0.07809478718894221, 0.3151831726533251]	-0.22945887120719974
146	[1.8981242179870605, 1.4606579542160034]	1.9249809213956623	1.4729266600306228	[0.12105510306753212, 0.3572580361169128]	0.14166699808764485
147	[1.5318856239318848, 1.2298153638839722]	1.9249809213956623	1.4729266600306228	[0.11815819473521695, 0.17091274230608633]	-0.6842579581593586
148	[1.4458131790161133, 2.119091510772705]	1.9249809213956623	1.4729266600306228	[0.3788889316384187, 0.0643606408689637]	-0.011363744768072438
149	[1.3665707111358643, 1.286928415298462]	1.9249809213956623	1.4729266600306228	[0.14934503668607385, 0.16075312713346626]	-0.5924871419242206
150	[1.1868737936019897, 1.5447485446929932]	1.9249809213956623	1.4729266600306228	[0.14626623828703397, 0.10188251344327509]	-0.8628579413013301
151	[2.010775327682495, 2.2732598781585693]	1.9249809213956623	1.4729266600306228	[0.42221138060979235, 0.1861272623785483]	0.7091477572631112
152	[1.3201020956039429, 1.7113357782363892]	1.9249809213956623	1.4729266600306228	[0.2510598128697753, 0.11665969012363951]	-0.34100569911117024
153	[2.2464258670806885, 1.5042096376419067]	1.9249809213956623	1.4729266600306228	[0.053842444873396574, 0.42406371407931537]	0.13989078154460738
154	[2.1914267539978027, 1.3956043720245361]	1.9249809213956623	1.4729266600306228	[0.04367960441794459, 0.349910928944222]	-0.2280946814661001
155	[2.1875, 1.6106688976287842]	1.9249809213956623	1.4729266600306228	[0.09020467841640929, 0.46607896675502614]	0.4819599455199082
156	[2.18278169631958, 1.2806775569915771]	1.9249809213956623	1.4729266600306228	[0.029580645797408812, 0.25907537954170806]	-0.6860687906565173
157	[1.2195813655853271, 2.129063367843628]	1.9249809213956623	1.4729266600306228	[0.2051414425353463, 0.02774879833171823]	-0.9294518869138806
158	[1.7668732404708862, 1.4296857118606567]	1.9249809213956623	1.4729266600306228	[0.146177650244432, 0.31554626033990335]	0.06926529407791586
159	[2.0235519409179688, 1.931333303451538]	1.9249809213956623	1.4729266600306228	[0.2887397723276958, 0.37992864450980784]	0.9724498392642079
160	[1.664607048034668, 1.2286996841430664]	1.9249809213956623	1.4729266600306228	[0.09522281694687769, 0.1873657898409452]	-0.7125493132078206
161	[1.9726396799087524, 1.8920753002166748]	1.9249809213956623	1.4729266600306228	[0.2968464603523801, 0.37578208220880316]	0.9897333343198655
162	[1.9581704139709473, 1.6852385997772217]	1.9249809213956623	1.4729266600306228	[0.19857029743561636, 0.4231014093026015]	0.7673383192495244
